Name,StageName,Amount,CloseDate
Delos Corp Security Audit,Prospecting,38000,2026-09-16
Tyrell Corp AI License,Qualification,88000,2026-09-19
Oscorp Bio Renewal,Needs Analysis,41000,2026-09-21
Vandelay Industries Deal,Value Proposition,56000,2026-09-27
Gekko & Co Investment Package,Negotiation/Review,175000,2026-09-30
Pied Piper Compression Suite,Prospecting,24000,2026-10-02
Hooli XYZ Integration,Qualification,63000,2026-10-04
Sirius Cybernetics Support,Needs Analysis,47000,2026-10-06
Dunder Mifflin Paper Contract,Value Proposition,19000,2026-10-08
Bluth Company Renewal,Negotiation/Review,102000,2026-10-11
Prestige Worldwide Ads,Prospecting,31000,2026-10-13
Los Pollos Hermanos Supply Deal,Qualification,58000,2026-10-14
Gringotts Vault Services,Needs Analysis,220000,2026-10-16
Nakatomi Trading Corp Deal,Value Proposition,74000,2026-10-17
Weyland-Yutani Expansion,Negotiation/Review,190000,2026-10-19
Rekall Inc Memory Package,Prospecting,26000,2026-10-21
Monsters Inc Energy Contract,Qualification,49000,2026-10-23
Abstergo Industries Deal,Prospecting,33000,2026-11-15
Duff Beer Distribution,Closed Won,67000,2026-09-08
Sto Plft Shipping Co,Closed Lost,12000,2026-09-11
