Name,StageName,Amount,CloseDate
Acme Renewal - Cloud Platform,Prospecting,45000,2026-09-15
Globex Expansion Deal,Qualification,72000,2026-09-18
Initech License Renewal,Needs Analysis,33000,2026-09-20
Umbrella Corp Upsell,Value Proposition,91000,2026-09-25
Wayne Enterprises Contract,Negotiation/Review,150000,2026-10-01
Stark Industries Add-on,Prospecting,28000,2026-10-05
Wonka Factory Deal,Qualification,54000,2026-10-10
Hooli Platform Migration,Needs Analysis,63000,2026-10-15
Soylent Corp Renewal,Value Proposition,47000,2026-10-20
Cyberdyne Systems Deal,Negotiation/Review,132000,2026-10-22
Massive Dynamic - Future Deal,Prospecting,20000,2026-12-01
Aperture Science Contract,Closed Won,85000,2026-09-10
Black Mesa Deal (Lost),Closed Lost,15000,2026-09-12
